Stimulus;Initial group;Voice;CR/WR/V/Q;Textual agreement %;Audial agreement %;Textual agreement value;Audial agreement value;Experimental values (V-Neg/Q-Neg/C-Neg);Values;Experimental %;Experimental answer;Agrees with intended;Agrees with textual;Agrees with audial;Based on textual annotation, these are the groups
Read;Ambiguous;1;Q;70%;87.50%;V;Q;V;15;65.22%;V;No for intended;Yes for text;No for audio;V-Amb
Read;Ambiguous;1;Q;70%;87.50%;V;Q;Q;7;30.43%;V;No for intended;Yes for text;No for audio;V-Amb
Read;Ambiguous;1;Q;70%;87.50%;V;Q;C;1;4.35%;V;No for intended;Yes for text;No for audio;V-Amb
Work;Ambiguous;1;Q;70%;75%;Q;Q;V;11;50.00%;V and Q tied;Contested;Contested;Contested;Q-Amb
Work;Ambiguous;1;Q;70%;75%;Q;Q;Q;11;50.00%;V and Q tied;Contested;Contested;Contested;Q-Amb
Work;Ambiguous;1;Q;70%;75%;Q;Q;C;0;0.00%;V and Q tied;Contested;Contested;Contested;Q-Amb
Relatives;Ambiguous;1;Q;90%;78%;Q;Q;V;4;16.67%;Q;Yes for intended;Yes for text;Yes for audio;Q
Relatives;Ambiguous;1;Q;90%;78%;Q;Q;Q;19;79.17%;Q;Yes for intended;Yes for text;Yes for audio;Q
Relatives;Ambiguous;1;Q;90%;78%;Q;Q;C;1;4.17%;Q;Yes for intended;Yes for text;Yes for audio;Q
Details;Ambiguous;1;Q;90%;62.50%;Q;V/Q;V;7;26.92%;Q;Yes for intended;Yes for text;No for audio;Q
Details;Ambiguous;1;Q;90%;62.50%;Q;V/Q;Q;18;69.23%;Q;Yes for intended;Yes for text;No for audio;Q
Details;Ambiguous;1;Q;90%;62.50%;Q;V/Q;C;1;3.85%;Q;Yes for intended;Yes for text;No for audio;Q
Describe;Ambiguous;1;Q;65%;55.55%;Q;Q;V;16;53.33%;V;No for intended;No for text;No for audio;Q-Amb
Describe;Ambiguous;1;Q;65%;55.55%;Q;Q;Q;12;40.00%;V;No for intended;No for text;No for audio;Q-Amb
Describe;Ambiguous;1;Q;65%;55.55%;Q;Q;C;2;6.67%;V;No for intended;No for text;No for audio;Q-Amb
Read;Ambiguous;2;Q;70%;44%;V;QN;V;13;43.33%;Q;Yes for intended;No for text;No for audio;V-Amb
Read;Ambiguous;2;Q;70%;44%;V;QN;Q;17;56.67%;Q;Yes for intended;No for text;No for audio;V-Amb
Read;Ambiguous;2;Q;70%;44%;V;QN;C;0;0.00%;Q;Yes for intended;No for text;No for audio;V-Amb
Work;Ambiguous;2;Q;70%;75%;Q;Q;V;17;54.84%;V;No for intended;No for text;No for audio;Q-Amb
Work;Ambiguous;2;Q;70%;75%;Q;Q;Q;13;41.94%;V;No for intended;No for text;No for audio;Q-Amb
Work;Ambiguous;2;Q;70%;75%;Q;Q;C;1;3.23%;V;No for intended;No for text;No for audio;Q-Amb
Relatives;Ambiguous;2;Q;90%;75.00%;Q;Q;V;12;41.38%;Q;Yes for intended;Yes for text;Yes for audio;Q
Relatives;Ambiguous;2;Q;90%;75.00%;Q;Q;Q;16;55.17%;Q;Yes for intended;Yes for text;Yes for audio;Q
Relatives;Ambiguous;2;Q;90%;75.00%;Q;Q;C;1;3.45%;Q;Yes for intended;Yes for text;Yes for audio;Q
Details;Ambiguous;2;Q;90%;75%;Q;Q;V;5;20.00%;Q;Yes for intended;Yes for text;Yes for audio;Q
Details;Ambiguous;2;Q;90%;75%;Q;Q;Q;17;68.00%;Q;Yes for intended;Yes for text;Yes for audio;Q
Details;Ambiguous;2;Q;90%;75%;Q;Q;C;3;12.00%;Q;Yes for intended;Yes for text;Yes for audio;Q
Describe;Ambiguous;2;Q;65%;55.55%;Q;Q;V;7;35.00%;Q;Yes for intended;Yes for text;Yes for audio;Q-Amb
Describe;Ambiguous;2;Q;65%;55.55%;Q;Q;Q;13;65.00%;Q;Yes for intended;Yes for text;Yes for audio;Q-Amb
Describe;Ambiguous;2;Q;65%;55.55%;Q;Q;C;0;0.00%;Q;Yes for intended;Yes for text;Yes for audio;Q-Amb
Read;Ambiguous;1;V;70%;75.00%;V;NEG;V;15;53.57%;V;Yes for intended;Yes for text;No for audio;V-Amb
Read;Ambiguous;1;V;70%;75.00%;V;NEG;Q;13;46.43%;V;Yes for intended;Yes for text;No for audio;V-Amb
Read;Ambiguous;1;V;70%;75.00%;V;NEG;C;0;0.00%;V;Yes for intended;Yes for text;No for audio;V-Amb
Work;Ambiguous;1;V;70%;88.88%;Q;NEG;V;4;15.38%;Q;No for intended;Yes for text;No for audio;Q-Amb
Work;Ambiguous;1;V;70%;88.88%;Q;NEG;Q;22;84.62%;Q;No for intended;Yes for text;No for audio;Q-Amb
Work;Ambiguous;1;V;70%;88.88%;Q;NEG;C;0;0.00%;Q;No for intended;Yes for text;No for audio;Q-Amb
Relatives;Ambiguous;1;V;90%;77.77%;Q;Q;V;2;7.41%;Q;No for intended;Yes for text;Yes for audio;Q
Relatives;Ambiguous;1;V;90%;77.77%;Q;Q;Q;25;92.59%;Q;No for intended;Yes for text;Yes for audio;Q
Relatives;Ambiguous;1;V;90%;77.77%;Q;Q;C;0;0.00%;Q;No for intended;Yes for text;Yes for audio;Q
Details;Ambiguous;1;V;90%;55.55%;Q;Q;V;2;6.90%;Q;No for intended;Yes for text;Yes for audio;Q
Details;Ambiguous;1;V;90%;55.55%;Q;Q;Q;26;89.66%;Q;No for intended;Yes for text;Yes for audio;Q
Details;Ambiguous;1;V;90%;55.55%;Q;Q;C;1;3.45%;Q;No for intended;Yes for text;Yes for audio;Q
Describe;Ambiguous;1;V;65%;75.00%;Q;NEG;V;6;17.65%;Q;No for intended;Yes for text;No for audio;Q-Amb
Describe;Ambiguous;1;V;65%;75.00%;Q;NEG;Q;27;79.41%;Q;No for intended;Yes for text;No for audio;Q-Amb
Describe;Ambiguous;1;V;65%;75.00%;Q;NEG;C;1;2.94%;Q;No for intended;Yes for text;No for audio;Q-Amb
Read;Ambiguous;2;V;70%;55%;V;NEG;V;11;47.83%;Q;No for intended;No for text;No for audio;V-Amb
Read;Ambiguous;2;V;70%;55%;V;NEG;Q;12;52.17%;Q;No for intended;No for text;No for audio;V-Amb
Read;Ambiguous;2;V;70%;55%;V;NEG;C;0;0.00%;Q;No for intended;No for text;No for audio;V-Amb
Work;Ambiguous;2;V;70%;89%;Q;NEG;V;14;56.00%;V;Yes for intended;No for text;No for audio;Q-Amb
Work;Ambiguous;2;V;70%;89%;Q;NEG;Q;11;44.00%;V;Yes for intended;No for text;No for audio;Q-Amb
Work;Ambiguous;2;V;70%;89%;Q;NEG;C;0;0.00%;V;Yes for intended;No for text;No for audio;Q-Amb
Relatives;Ambiguous;2;V;90%;78%;Q;NG;V;6;24.00%;Q;No for intended;Yes for text;No for audio;Q
Relatives;Ambiguous;2;V;90%;78%;Q;NG;Q;19;76.00%;Q;No for intended;Yes for text;No for audio;Q
Relatives;Ambiguous;2;V;90%;78%;Q;NG;C;0;0.00%;Q;No for intended;Yes for text;No for audio;Q
Details;Ambiguous;2;V;90%;66.67%;Q;Q;V;5;20.83%;Q;No for intended;Yes for text;Yes for audio;Q
Details;Ambiguous;2;V;90%;66.67%;Q;Q;Q;19;79.17%;Q;No for intended;Yes for text;Yes for audio;Q
Details;Ambiguous;2;V;90%;66.67%;Q;Q;C;0;0.00%;Q;No for intended;Yes for text;Yes for audio;Q
Describe;Ambiguous;2;V;65%;55.55%;Q;Q;V;4;21.05%;Q;No for intended;Yes for text;Yes for audio;Q-Amb
Describe;Ambiguous;2;V;65%;55.55%;Q;Q;Q;14;73.68%;Q;No for intended;Yes for text;Yes for audio;Q-Amb
Describe;Ambiguous;2;V;65%;55.55%;Q;Q;C;1;5.26%;Q;No for intended;Yes for text;Yes for audio;Q-Amb
Mother;C;1;CR;85%;33%;C;VP;V;3;13.04%;C;Yes for intended;Yes for text;No for audio;C
Mother;C;1;CR;85%;33%;C;VP;Q;4;17.39%;C;Yes for intended;Yes for text;No for audio;C
Mother;C;1;CR;85%;33%;C;VP;C;16;69.57%;C;Yes for intended;Yes for text;No for audio;C
Guitar;C;1;CR;95%;50%;C;N;V;6;21.43%;C;Yes for intended;Yes for text;No for audio;C
Guitar;C;1;CR;95%;50%;C;N;Q;9;32.14%;C;Yes for intended;Yes for text;No for audio;C
Guitar;C;1;CR;95%;50%;C;N;C;13;46.43%;C;Yes for intended;Yes for text;No for audio;C
Wife;C;1;CR;70%;50.00%;C;V;V;9;37.50%;V and C tied;Contested;Contested;Contested;C-Amb
