StartDate;EndDate;Status;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;RecipientLastName;RecipientFirstName;RecipientEmail;ExternalReference;DistributionChannel;UserLanguage;Q_RecaptchaScore;Q1;Q2;Q3;Q101;Q102;Q103;Q104;Q105;Q106;1;2;5;6;9;10;13;14;19;20;23;24;27;28;31;32;33;34;37;38;41;42;45;46;51;52;55;56;59;60;63;64;65;66;69;70;73;74;77;78;83;84;87;88;91;92;95;96;3;4;7;8;11;12;15;16;17;18;21;22;25;26;29;30;35;36;39;40;43;44;47;48;49;50;53;54;57;58;61;62;67;68;71;72;75;76;79;80;81;82;85;86;89;90;93;94;SC0;FillerScore
Start Date;End Date;Response Type;Progress;Duration (in seconds);Finished;Recorded Date;Response ID;Recipient Last Name;Recipient First Name;Recipient Email;External Data Reference;Distribution Channel;User Language;Q_RecaptchaScore;age_part;gender_part;educ_part;"Что означает предложение ""Общий срок кредитования не превышает 20 лет""?";"Что означает предложение ""Дети сотрудника не состоят в трудовых отношениях с организацией""?";"Что означает предложение ""Люди просто не могут жить без общения""?";"Что означает предложение ""Вообще вопрос о качестве продукции возникает не впервые""?";"Что означает предложение ""Здешняя почва не подходит для выращивания овощей""?";"Что означает предложение ""В этих краях температура зимой не опускается ниже минус 20 градусов""?";revolution cr nm;revolution cr vy;importance cr nm;importance cr vy;solve cr nm;solve cr vy;read cr nm;read cr vy;sleep wr nm;sleep wr vy;work wr nm;work wr vy;maria wr nm;maria wr vy;sick wr nm;sick wr vy;panorama cr nm;panorama cr vy;numbers cr nm;numbers cr vy;gamma cr nm;gamma cr vy;sequence cr nm;sequence cr vy;distribution wr nm;distribution wr vy;chess wr nm;chess wr vy;trolley wr nm;trolley wr vy;truth wr nm;truth wr vy;aunt cr nm;aunt cr vy;guitar cr nm;guitar cr vy;asphalt cr nm;asphalt cr vy;leave_work cr nm;leave_work cr vy;no_work wr nm;no_work wr vy;sorry wr nm;sorry wr vy;possibility wr nm;possibility wr vy;describe wr nm;descrive wr vy;revolution wr nm;revolution wr vy;importance wr nm;importance wr vy;solve wr nm;solve wr vy;read wr nm;read wr vy;sleep cr nm;sleep cr vy;work cr nm;work cr nm;maria cr nm;maria cr vy;sick cr nm;sick cr vy;panorama wr nm;panorama wr vy;numbers wr nm;numbers wr vy;gamma wr nm;gamma wr vy;sequence wr nm;sequence wr vy;distribution cr nm;distribution cr vy;chess cr nm;chess cr vy;trolley cr nm;trolley cr vy;truth cr nm;truth cr vy;aunt wr nm;aunt wr vy;guitar wr nm;guitar wr vy;asphalt wr nm;asphalt wr vy;leave_work wr nm;leave_work wr vy;no_work cr nm;no_work cr vy;sorry cr nm;sorry cr vy;possibility cr nm;possibility cr vy;describe cr nm;describe cr vy;Score;FillerScore
"{""ImportId"":""startDate"",""timeZone"":""Asia/Dhaka""}";"{""ImportId"":""endDate"",""timeZone"":""Asia/Dhaka""}";"{""ImportId"":""status""}";"{""ImportId"":""progress""}";"{""ImportId"":""duration""}";"{""ImportId"":""finished""}";"{""ImportId"":""recordedDate"",""timeZone"":""Asia/Dhaka""}";"{""ImportId"":""_recordId""}";"{""ImportId"":""recipientLastName""}";"{""ImportId"":""recipientFirstName""}";"{""ImportId"":""recipientEmail""}";"{""ImportId"":""externalDataReference""}";"{""ImportId"":""distributionChannel""}";"{""ImportId"":""userLanguage""}";"{""ImportId"":""Q_RecaptchaScore""}";"{""ImportId"":""QID1_TEXT""}";"{""ImportId"":""QID99""}";"{""ImportId"":""QID100""}";"{""ImportId"":""QID101""}";"{""ImportId"":""QID102""}";"{""ImportId"":""QID103""}";"{""ImportId"":""QID104""}";"{""ImportId"":""QID105""}";"{""ImportId"":""QID106""}";"{""ImportId"":""QID2""}";"{""ImportId"":""QID3""}";"{""ImportId"":""QID6""}";"{""ImportId"":""QID7""}";"{""ImportId"":""QID10""}";"{""ImportId"":""QID11""}";"{""ImportId"":""QID14""}";"{""ImportId"":""QID15""}";"{""ImportId"":""QID20""}";"{""ImportId"":""QID21""}";"{""ImportId"":""QID24""}";"{""ImportId"":""QID25""}";"{""ImportId"":""QID28""}";"{""ImportId"":""QID29""}";"{""ImportId"":""QID32""}";"{""ImportId"":""QID33""}";"{""ImportId"":""QID34""}";"{""ImportId"":""QID35""}";"{""ImportId"":""QID38""}";"{""ImportId"":""QID39""}";"{""ImportId"":""QID42""}";"{""ImportId"":""QID43""}";"{""ImportId"":""QID46""}";"{""ImportId"":""QID47""}";"{""ImportId"":""QID52""}";"{""ImportId"":""QID53""}";"{""ImportId"":""QID56""}";"{""ImportId"":""QID57""}";"{""ImportId"":""QID60""}";"{""ImportId"":""QID61""}";"{""ImportId"":""QID64""}";"{""ImportId"":""QID65""}";"{""ImportId"":""QID66""}";"{""ImportId"":""QID67""}";"{""ImportId"":""QID70""}";"{""ImportId"":""QID71""}";"{""ImportId"":""QID74""}";"{""ImportId"":""QID75""}";"{""ImportId"":""QID78""}";"{""ImportId"":""QID79""}";"{""ImportId"":""QID84""}";"{""ImportId"":""QID85""}";"{""ImportId"":""QID88""}";"{""ImportId"":""QID89""}";"{""ImportId"":""QID92""}";"{""ImportId"":""QID93""}";"{""ImportId"":""QID96""}";"{""ImportId"":""QID97""}";"{""ImportId"":""QID4""}";"{""ImportId"":""QID5""}";"{""ImportId"":""QID8""}";"{""ImportId"":""QID9""}";"{""ImportId"":""QID12""}";"{""ImportId"":""QID13""}";"{""ImportId"":""QID16""}";"{""ImportId"":""QID17""}";"{""ImportId"":""QID18""}";"{""ImportId"":""QID19""}";"{""ImportId"":""QID22""}";"{""ImportId"":""QID23""}";"{""ImportId"":""QID26""}";"{""ImportId"":""QID27""}";"{""ImportId"":""QID30""}";"{""ImportId"":""QID31""}";"{""ImportId"":""QID36""}";"{""ImportId"":""QID37""}";"{""ImportId"":""QID40""}";"{""ImportId"":""QID41""}";"{""ImportId"":""QID44""}";"{""ImportId"":""QID45""}";"{""ImportId"":""QID48""}";"{""ImportId"":""QID49""}";"{""ImportId"":""QID50""}";"{""ImportId"":""QID51""}";"{""ImportId"":""QID54""}";"{""ImportId"":""QID55""}";"{""ImportId"":""QID58""}";"{""ImportId"":""QID59""}";"{""ImportId"":""QID62""}";"{""ImportId"":""QID63""}";"{""ImportId"":""QID68""}";"{""ImportId"":""QID69""}";"{""ImportId"":""QID72""}";"{""ImportId"":""QID73""}";"{""ImportId"":""QID76""}";"{""ImportId"":""QID77""}";"{""ImportId"":""QID80""}";"{""ImportId"":""QID81""}";"{""ImportId"":""QID82""}";"{""ImportId"":""QID83""}";"{""ImportId"":""QID86""}";"{""ImportId"":""QID87""}";"{""ImportId"":""QID90""}";"{""ImportId"":""QID91""}";"{""ImportId"":""QID94""}";"{""ImportId"":""QID95""}";"{""ImportId"":""SC_0fjaXjGDsDozVum""}";"{""ImportId"":""FillerScore""}"
2023-04-14 16:28:25;2023-04-14 16:35:49;IP Address;100;444;TRUE;2023-04-14 16:35:49;R_31twfgQVw2uh7Wk;;;;;anonymous;RU;0.8999999761581421;30;Женский;Университет и выше;Срок кредитования меньше или равен 20 годам;Этот сотрудник не работает в одной организации со своими детьми;Людям нужно общение;Вопрос о качестве продукции вставал раньше;На здешней почве плохо выращивать овощи;Зимой в этих краях не бывает температуры ниже минус 20 градусов.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;он не верит ни в какие революции;;;вы понимаете важность нашего предложения только частично;я готов решать только часть этого;;;я успею прочесть только часть;;я вообще нисколько не спала в дороге;;он вообще не работал в течение дня;Марья Гавриловна вообще не спала ночью;;больной вообще не ел в течение дня;;;большие панорамы умещают лишь часть разнообразия жизни;;я приведу только часть цифр, а не все;в этой игре воспроизводится только часть ощущений;;мы не знаем ничего о последовательности построения;;;он может запомнить только часть деталей;;шахматист во время партии не перебирает ходы, а делает что-то другое;маршрутки могут удовлетворить не всех пассажиров, а только часть;;;я рассказала только часть правды, а часть скрыла;;Сейчас я сижу на шее у тетки, но в будущем хотел бы устроить свою жизнь по-другому;;Сейчас я много играю на гитаре, но в будущем хочу делать что-то ещё;;Сейчас я мету асфальт, но в будущем хочу заниматься какими-то другими вещами;;Я могу уходить с работы не всегда;Кто-то считает, что правильно работать всю жизнь, а я хочу делать что-то другое;;;Кто-то ожидает, что я буду всё время извиняться, но я этого не хочу;Существующие сейчас способы перебирают возможности, а новый должен использовать другие стратегии;;;Я готов описать только некоторые детали;6;6
2023-04-14 16:50:07;2023-04-14 16:50:41;IP Address;100;33;TRUE;2023-04-14 16:50:41;R_24BrgTZscsySKfv;;;;;anonymous;RU;1;23;Мужской;Университет и выше;Срок кредитования меньше или равен 20 годам;Этот сотрудник работает в одной организации со своими детьми;Людям нужно общение;Раньше вопрос о качестве продукции не вставал;На здешней почве хорошо выращивать овощи;Зимой в этих краях бывает температура ниже минус 20 градусов.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
2023-04-14 16:46:30;2023-04-14 16:53:29;IP Address;100;419;TRUE;2023-04-14 16:53:30;R_3QQUX7wo7Ap3Xav;;;;;anonymous;RU;1;23;Женский;Университет и выше;Срок кредитования меньше или равен 20 годам;Этот сотрудник не работает в одной организации со своими детьми;Людям нужно общение;Вопрос о качестве продукции вставал раньше;На здешней почве плохо выращивать овощи;Зимой в этих краях не бывает температуры ниже минус 20 градусов.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;он не верит ни в какие революции;вы понимаете важность нашего предложения только частично;;я готов решать только часть этого;;я успею прочесть только часть;;я спала только часть времени в дороге;;;он вообще не работал в течение дня;;Марья Гавриловна вообще не спала ночью;;больной вообще не ел в течение дня;;большие панорамы умещают лишь часть разнообразия жизни;;я приведу только часть цифр, а не все;;в этой игре воспроизводится только часть ощущений;;мы знаем только часть всей последовательности построения;;он может запомнить только часть деталей;;шахматист перебирает только часть возможных ходов;;маршрутки могут удовлетворить не всех пассажиров, а только часть;я рассказала только часть правды, а часть скрыла;;Я собираюсь сидеть на шее у тетки только часть жизни;;;Я собираюсь играть на гитаре только некоторое время;Я могу мести асфальт только некоторое время;;Я могу уходить с работы не всегда;;Мое желание — работать часть жизни;;;Я готов извиняться время от времени, но не постоянно;Новый способ должен перебирать только часть возможностей;;Я готов описать только некоторые детали;;6;6
2023-04-14 16:46:38;2023-04-14 16:53:47;IP Address;100;428;TRUE;2023-04-14 16:53:47;R_1gGsbagfmhZtei5;;;;;anonymous;RU;1;38;Женский;Университет и выше;Срок кредитования меньше или равен 20 годам;Этот сотрудник не работает в одной организации со своими детьми;Людям нужно общение;Вопрос о качестве продукции вставал раньше;На здешней почве плохо выращивать овощи;Зимой в этих краях не бывает температуры ниже минус 20 градусов.;он не верит ни в какие революции;;;вы вообще не понимаете важности нашего предложения;я не хочу решать ничего из этого;;;я не успею прочесть вообще ничего из этого;я вообще нисколько не спала в дороге;;;он вообще не работал в течение дня;Марья Гавриловна вообще не спала ночью;;больной вообще не ел в течение дня;;;большие панорамы вообще не умещают никакого разнообразия жизни;;я не буду приводить никаких цифр;в этой игре не воспроизводится никаких ощущений;;мы не знаем ничего о последовательности построения;;;он не может запомнить никаких деталей;шахматист перебирает только часть возможных ходов;;маршрутки не могут удовлетворить никаких пассажиров;;я рассказала только часть правды, а часть скрыла;;;Сейчас я сижу на шее у тетки, но в будущем хотел бы устроить свою жизнь по-другому;Сейчас я много играю на гитаре, но в будущем хочу делать что-то ещё;;;Я могу мести асфальт только некоторое время;;Я могу уходить с работы не всегда;Кто-то считает, что правильно работать всю жизнь, а я хочу делать что-то другое;;Кто-то ожидает, что я буду всё время извиняться, но я этого не хочу;;;Новый способ должен перебирать только часть возможностей;Я не хочу описывать никаких деталей;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6
2023-04-14 16:47:28;2023-04-14 16:54:25;IP Address;100;417;TRUE;2023-04-14 16:54:26;R_2THjz1kO32PPtJw;;;;;anonymous;RU;0.8999999761581421;26;Мужской;Колледж;Срок кредитования меньше или равен 20 годам;Этот сотрудник не работает в одной организации со своими детьми;Людям нужно общение;Раньше вопрос о качестве продукции не вставал;На здешней почве плохо выращивать овощи;Зимой в этих краях не бывает температуры ниже минус 20 градусов.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;он не верит ни в какие революции;вы вообще не понимаете важности нашего предложения;;я готов решать только часть этого;;я успею прочесть только часть;;;я вообще нисколько не спала в дороге;он вообще не работал в течение дня;;Марья Гавриловна вообще не спала ночью;;;больной вообще не ел в течение дня;большие панорамы умещают лишь часть разнообразия жизни;;я приведу только часть цифр, а не все;;;в этой игре воспроизводится только часть ощущений;мы знаем только часть всей последовательности построения;;;он не может запомнить никаких деталей;шахматист перебирает только часть возможных ходов;;маршрутки могут удовлетворить не всех пассажиров, а только часть;;я рассказала только часть правды, а часть скрыла;;;Я собираюсь сидеть на шее у тетки только часть жизни;;Я собираюсь играть на гитаре только некоторое время;;Я могу мести асфальт только некоторое время;Я могу уходить с работы не всегда;;Мое желание — работать часть жизни;;;Кто-то ожидает, что я буду всё время извиняться, но я этого не хочу;;Новый способ вообще не должен заниматься перебором возможностей;Я готов описать только некоторые детали;;5;5
2023-04-14 16:46:34;2023-04-14 16:54:38;IP Address;100;484;TRUE;2023-04-14 16:54:39;R_w6Q1ArvlxQs41aN;;;;;anonymous;RU;0.8999999761581421;24;Женский;Школа;Срок кредитования меньше или равен 20 годам;Этот сотрудник не работает в одной организации со своими детьми;Людям нужно общение;Вопрос о качестве продукции вставал раньше;На здешней почве плохо выращивать овощи;Зимой в этих краях не бывает температуры ниже минус 20 градусов.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;он не верит ни в какие революции;;вы понимаете важность нашего предложения только частично;;я готов решать только часть этого;;я не успею прочесть вообще ничего из этого;;я вообще нисколько не спала в дороге;;он вообще не работал в течение дня;;;Марья Гавриловна вообще не спала ночью;;больной вообще не ел в течение дня;большие панорамы умещают лишь часть разнообразия жизни;;я не буду приводить никаких цифр;;в этой игре воспроизводится только часть ощущений;;;мы знаем только часть всей последовательности построения;;он может запомнить только часть деталей;;шахматист перебирает только часть возможных ходов;маршрутки могут удовлетворить не всех пассажиров, а только часть;;я рассказала только часть правды, а часть скрыла;;Сейчас я сижу на шее у тетки, но в будущем хотел бы устроить свою жизнь по-другому;;Я собираюсь играть на гитаре только некоторое время;;;Сейчас я мету асфальт, но в будущем хочу заниматься какими-то другими вещами;Сейчас я часто ухожу с работы, но так продолжаться не может;;;Кто-то считает, что правильно работать всю жизнь, а я хочу делать что-то другое;;Кто-то ожидает, что я буду всё время извиняться, но я этого не хочу;;Существующие сейчас способы перебирают возможности, а новый должен использовать другие стратегии;;Я готов описать только некоторые детали;6;6
2023-04-14 16:47:40;2023-04-14 16:54:49;IP Address;100;429;TRUE;2023-04-14 16:54:50;R_1ifJt3mZvl2MwSx;;;;;anonymous;RU;0.8999999761581421;37;Женский;Университет и выше;Срок кредитования меньше или равен 20 годам;Этот сотрудник не работает в одной организации со своими детьми;Людям нужно общение;Вопрос о качестве продукции вставал раньше;На здешней почве плохо выращивать овощи;Зимой в этих краях не бывает температуры ниже минус 20 градусов.;он не верит ни в какие революции;;;вы понимаете важность нашего предложения только частично;;я хочу не решать это всё, а делать что-то другое;я успею не прочесть все это, а сделать что-то другое;;;я спала только часть времени в дороге;он работал только часть дня;;Марья Гавриловна вообще не спала ночью;;больной вообще не ел в течение дня;;;большие панорамы умещают лишь часть разнообразия жизни;;я приведу только часть цифр, а не все;в этой игре воспроизводится только часть ощущений;;мы знаем только часть всей последовательности построения;;он может запомнить только часть деталей;;шахматист перебирает только часть возможных ходов;;маршрутки могут удовлетворить не всех пассажиров, а только часть;;я рассказала только часть правды, а часть скрыла;;Сейчас я сижу на шее у тетки, но в будущем хотел бы устроить свою жизнь по-другому;;Сейчас я много играю на гитаре, но в будущем хочу делать что-то ещё;;;Сейчас я мету асфальт, но в будущем хочу заниматься какими-то другими вещами;Сейчас я часто ухожу с работы, но так продолжаться не может;;Мое желание — работать часть жизни;;Кто-то ожидает, что я буду всё время извиняться, но я этого не хочу;;Существующие сейчас способы перебирают возможности, а новый должен использовать другие стратегии;;Я готов описать только некоторые детали;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6
2023-04-14 16:47:09;2023-04-14 16:54:51;IP Address;100;462;TRUE;2023-04-14 16:54:51;R_1PZU7dTZPV5jDQH;;;;;anonymous;RU;0.8999999761581421;30;Мужской;Университет и выше;Срок кредитования меньше или равен 20 годам;Этот сотрудник не работает в одной организации со своими детьми;Людям нужно общение;Вопрос о качестве продукции вставал раньше;На здешней почве плохо выращивать овощи;Зимой в этих краях не бывает температуры ниже минус 20 градусов.;он не верит ни в какие революции;;;вы вообще не понимаете важности нашего предложения;я не хочу решать ничего из этого;;я успею не прочесть все это, а сделать что-то другое;;;я спала только часть времени в дороге;;он работал только часть дня;;Марья Гавриловна вообще не спала ночью;;больной вообще не ел в течение дня;большие панорамы умещают лишь часть разнообразия жизни;;;я приведу только часть цифр, а не все;в этой игре воспроизводится только часть ощущений;;мы знаем только часть всей последовательности построения;;он может запомнить только часть деталей;;;шахматист перебирает только часть возможных ходов;маршрутки могут не удовлетворить пассажиров, а сделать что-то другое;;я рассказала только часть правды, а часть скрыла;;;Я собираюсь сидеть на шее у тетки только часть жизни;Я собираюсь играть на гитаре только некоторое время;;;Я могу мести асфальт только некоторое время;;Я могу уходить с работы не всегда;;Мое желание — работать часть жизни;Я готов извиняться время от времени, но не постоянно;;;Новый способ должен перебирать только часть возможностей;;Я готов описать только некоторые детали;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6
