Word,Ambiguity,Negation group,Intended stress,Reading,Experimental answers breakdown (NM),,Percentage of total,Total answers,Experimental answers breakdown (VY),,Percentage of total,Total answers,Experimental answers breakdown (Overall),,Percentage of total,Total answers,Multiple choices breakdown,Percentage of total,Total answers,% of annotators answered according to expectations (NM),"Inter-annotator agreement rating (Fleiss' Kappa, random) (NM)",% of annotators answered according to expectations (VY),"Inter-annotator agreement rating (Fleiss' Kappa, random) (VY)"
Revolution,Unambiguous,V,Q,CR,Quantifier negated,29,93.55%,31,Quantifier negated,18,85.71%,21,Quantifier negated,47,90.38%,52,20,71.43%,28,100,1,100,1
,,,,,Fully negated,1,3.23%,,Fully negated,2,9.52%,,Fully negated,3,5.77%,,2,7.14%,,,,,
,,,,,Clause negated,1,3.23%,,Clause negated,1,4.76%,,Clause negated,2,3.85%,,6,21.43%,,,,,
,,,,WR,Quantifier negated,30,85.71%,35,Quantifier negated,13,65.00%,20,Quantifier negated,43,78.18%,55,,,0,100,1,100,1
,,,,,Fully negated,4,11.43%,,Fully negated,7,35.00%,,Fully negated,11,20.00%,,,,,,,,
,,,,,Clause negated,1,2.86%,,Clause negated,0,0.00%,,Clause negated,1,1.82%,,,,,,,,
Importance,Ambiguous,V,Q,CR,Quantifier negated,13,52.00%,25,Quantifier negated,13,48.15%,27,Quantifier negated,26,50.00%,52,7,26.92%,26,100,1,100,1
,,,,,Fully negated,12,48.00%,,Fully negated,14,51.85%,,Fully negated,26,50.00%,,17,65.38%,,,,,
,,,,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,2,7.69%,,,,,
,,,,WR,Quantifier negated,7,22.58%,31,Quantifier negated,7,30.43%,23,Quantifier negated,14,25.93%,54,,,0,100,1,100,1
,,,,,Fully negated,24,77.42%,,Fully negated,16,69.57%,,Fully negated,40,74.07%,,,,,,,,
,,,,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,,,,,,,
Solve,Ambiguous,V,Q,CR,Quantifier negated,27,87.10%,31,Quantifier negated,11,57.89%,19,Quantifier negated,38,76.00%,50,15,48.39%,31,60,-0.2,80,0.2
,,,,,Fully negated,4,12.90%,,Fully negated,6,31.58%,,Fully negated,10,20.00%,,9,29.03%,,,,,
,,,,,Clause negated,0,0.00%,,Clause negated,2,10.53%,,Clause negated,2,4.00%,,7,22.58%,,,,,
,,,,WR,Quantifier negated,11,28.95%,38,Quantifier negated,5,29.41%,17,Quantifier negated,16,29.09%,55,,,0,100,1,100,1
,,,,,Fully negated,24,63.16%,,Fully negated,9,52.94%,,Fully negated,33,60.00%,,,,,,,,
,,,,,Clause negated,3,7.89%,,Clause negated,3,17.65%,,Clause negated,6,10.91%,,,,,,,,
Read,Ambiguous,V,Q,CR,Quantifier negated,9,37.50%,24,Quantifier negated,8,28.57%,28,Quantifier negated,17,32.69%,52,8,29.63%,27,100,1,100,1
,,,,,Fully negated,11,45.83%,,Fully negated,16,57.14%,,Fully negated,27,51.92%,,15,55.56%,,,,,
,,,,,Clause negated,4,16.67%,,Clause negated,4,14.29%,,Clause negated,8,15.38%,,4,14.81%,,,,,
,,,,WR,Quantifier negated,8,20.51%,39,Quantifier negated,2,12.50%,16,Quantifier negated,10,18.18%,55,,,0,100,1,100,1
,,,,,Fully negated,26,66.67%,,Fully negated,11,68.75%,,Fully negated,37,67.27%,,,,,,,,
,,,,,Clause negated,5,12.82%,,Clause negated,3,18.75%,,Clause negated,8,14.55%,,,,,,,,
Sleep,Unambiguous,V,N,CR,Quantifier negated,24,88.89%,27,Quantifier negated,27,96.43%,28,Quantifier negated,51,92.73%,55,20,86.96%,23,80,0.2,100,1
,,,,,Fully negated,3,11.11%,,Fully negated,1,3.57%,,Fully negated,4,7.27%,,2,8.70%,,,,,
,,,,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,1,4.35%,,,,,
,,,,WR,Quantifier negated,22,84.62%,26,Quantifier negated,17,68.00%,25,Quantifier negated,39,76.47%,51,,,0,100,1,100,1
,,,,,Fully negated,4,15.38%,,Fully negated,8,32.00%,,Fully negated,12,23.53%,,,,,,,,
,,,,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,,,,,,,
Work,Ambiguous,V,N,CR,Quantifier negated,20,90.91%,22,Quantifier negated,28,87.50%,32,Quantifier negated,48,88.89%,54,16,61.54%,26,100,1,100,1
,,,,,Fully negated,2,9.09%,,Fully negated,4,12.50%,,Fully negated,6,11.11%,,9,34.62%,,,,,
,,,,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,1,3.85%,,,,,
,,,,WR,Quantifier negated,9,36.00%,25,Quantifier negated,17,65.38%,26,Quantifier negated,26,50.98%,51,,,0,80,0.2,80,0.2
,,,,,Fully negated,16,64.00%,,Fully negated,9,34.62%,,Fully negated,25,49.02%,,,,,,,,
,,,,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,,,,,,,
Maria,Unambiguous,V,N,CR,Quantifier negated,24,100.00%,24,Quantifier negated,30,96.77%,31,Quantifier negated,54,98.18%,55,20,95.24%,21,100,1,100,1
,,,,,Fully negated,0,0.00%,,Fully negated,1,3.23%,,Fully negated,1,1.82%,,1,4.76%,,,,,
,,,,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,0,0.00%,,,,,
,,,,WR,Quantifier negated,24,100.00%,24,Quantifier negated,25,92.59%,27,Quantifier negated,49,96.08%,51,,,0,40,-0.2,40,-0.2
,,,,,Fully negated,0,0.00%,,Fully negated,2,7.41%,,Fully negated,2,3.92%,,,,,,,,
,,,,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,,,,,,,
Sick,Unambiguous,V,N,CR,Quantifier negated,28,96.55%,29,Quantifier negated,27,100.00%,27,Quantifier negated,55,98.21%,56,20,95.24%,21,100,1,100,1
,,,,,Fully negated,1,3.45%,,Fully negated,0,0.00%,,Fully negated,1,1.79%,,0,0.00%,,,,,
,,,,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,1,4.76%,,,,,
,,,,WR,Quantifier negated,25,96.15%,26,Quantifier negated,25,96.15%,26,Quantifier negated,50,96.15%,52,,,0,60,-0.2,60,-0.2
,,,,,Fully negated,0,0.00%,,Fully negated,1,3.85%,,Fully negated,1,1.92%,,,,,,,,
,,,,,Clause negated,1,3.85%,,Clause negated,0,0.00%,,Clause negated,1,1.92%,,,,,,,,
Panorama,Unambiguous,Q,Q,CR,Quantifier negated,5,16.13%,31,Quantifier negated,3,15.00%,20,Quantifier negated,8,15.69%,51,3,13.04%,23,80,0.2,80,0.2
,,,,,Fully negated,26,83.87%,,Fully negated,17,85.00%,,Fully negated,43,84.31%,,19,82.61%,,,,,
,,,,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,1,4.35%,,,,,
,,,,WR,Quantifier negated,6,22.22%,27,Quantifier negated,1,3.57%,28,Quantifier negated,7,12.73%,55,,,0,100,1,100,1
,,,,,Fully negated,21,77.78%,,Fully negated,27,96.43%,,Fully negated,48,87.27%,,,,,,,,
,,,,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,,,,,,,
Numbers,Unambiguous,Q,Q,CR,Quantifier negated,1,4.76%,21,Quantifier negated,2,6.45%,31,Quantifier negated,3,5.77%,52,5,20.83%,24,100,1,100,1
,,,,,Fully negated,20,95.24%,,Fully negated,28,90.32%,,Fully negated,48,92.31%,,17,70.83%,,,,,
