StartDate;EndDate;Status;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;RecipientLastName;RecipientFirstName;RecipientEmail;ExternalReference;DistributionChannel;UserLanguage;Q_RecaptchaScore;Q1;Q2;Q3;Q29;Q30;Q31;Q32;Q33;Q34;Q35;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;SC0;FillerScore;Q_StraightliningCount;Q_StraightliningPercentage;Q_StraightliningQuestions
Start Date;End Date;Response Type;Progress;Duration (in seconds);Finished;Recorded Date;Response ID;Recipient Last Name;Recipient First Name;Recipient Email;External Data Reference;Distribution Channel;User Language;Q_RecaptchaScore;"Как можно понять данное предложение?
Эксперт разбирался в фотографиях находок, много лет хранившихся в городском музее.";"Как можно понять данное предложение?
Директор выступила против печати в журнале повестей писательниц, недавно выдвинутых на премию «Букер».";"Как можно понять данное предложение?
На конкурс выдвинули сотрудников институтов, недавно получивших значительный грант.";"Как можно понять данное предложение?
Свидетель упомянул напарника водителя, вчера видевшего это ограбление.";"Как можно понять данное предложение?
На улице Григорий столкнулся со служанкой графини, много лет жившей в доме неподалеку.";"Как можно понять данное предложение?
Старушки говорили об исполнительнице песни с высоким рейтингом";"Как можно понять данное предложение?
Спасатели с трудом добрались до подвала монастыря с толстыми стенами.";"Как можно понять данное предложение?
Спутник мужчины с хмурым лицом подошел к регистратуре.";"Как можно понять данное предложение?
Украли сварочный аппарат работника, который проработал два дня";"Как можно понять данное предложение?
Ручка двери, которую украшал сам мастер из Парижа, была изуродована";"Как можно понять данное предложение?
Он сказал: ""Я не верю во все эти революции.""";"Как можно понять данное предложение?
Вы просто не понимаете всей важности нашего предложения.";"Как можно понять данное предложение?
Как же страшно, я не хочу всё это решать.";"Как можно понять данное предложение?
Я уже не успею всё это прочесть, подпишу так.";"Как можно понять данное предложение?
Я не спала всю дорогу.";"Как можно понять данное предложение?
Он не работал весь день.";"Как можно понять данное предложение?
Накануне решительного дня Марья Гавриловна не спала всю ночь.";"Как можно понять данное предложение?
Наш больной ничего не ел весь день.";"Как можно понять данное предложение?
Большие панорамы не могут уместить всего разнообразия жизни.";"Как можно понять данное предложение?
В прошлом году потратили два миллиона — я не буду все цифры приводить.";"Как можно понять данное предложение?
В этой игре не воспроизводится вся гамма ощущений.";"Как можно понять данное предложение?
Мы не знаем всю последовательность построения.";"Как можно понять данное предложение?
Он не может запомнить все детали распределения.";"Как можно понять данное предложение?
Когда перед ним партия, шахматист не перебирает все ходы подряд.";"Как можно понять данное предложение?
Маршрутки не могут удовлетворить всех пассажиров, но всё-таки работают.";"Как можно понять данное предложение?
Я не рассказала вам всей правды про себя.";"Как можно понять данное предложение?
Я не собираюсь всю жизнь сидеть на шее у тетки.";"Как можно понять данное предложение?
Я не собираюсь всю жизнь играть на гитаре.";"Как можно понять данное предложение?
Я не могу всё время мести асфальт.";"Как можно понять данное предложение?
Опять плохо себя чувствуешь? Я не могу всё время уходить с работы";"Как можно понять данное предложение?
Я не хочу всю жизнь работать.";"Как можно понять данное предложение?
Я не хочу все время извиняться.";"Как можно понять данное предложение?
Нужно изобрести какой-то другой способ, который бы не перебирал все возможности.";"Как можно понять данное предложение?
Я не хочу описывать тебе все детали";Score;FillerScore;Q_StraightliningCount;Q_StraightliningPercentage;Q_StraightliningQuestions
"{""ImportId"":""startDate"",""timeZone"":""Asia/Dhaka""}";"{""ImportId"":""endDate"",""timeZone"":""Asia/Dhaka""}";"{""ImportId"":""status""}";"{""ImportId"":""progress""}";"{""ImportId"":""duration""}";"{""ImportId"":""finished""}";"{""ImportId"":""recordedDate"",""timeZone"":""Asia/Dhaka""}";"{""ImportId"":""_recordId""}";"{""ImportId"":""recipientLastName""}";"{""ImportId"":""recipientFirstName""}";"{""ImportId"":""recipientEmail""}";"{""ImportId"":""externalDataReference""}";"{""ImportId"":""distributionChannel""}";"{""ImportId"":""userLanguage""}";"{""ImportId"":""Q_RecaptchaScore""}";"{""ImportId"":""QID3""}";"{""ImportId"":""QID4""}";"{""ImportId"":""QID5""}";"{""ImportId"":""QID30""}";"{""ImportId"":""QID31""}";"{""ImportId"":""QID32""}";"{""ImportId"":""QID33""}";"{""ImportId"":""QID34""}";"{""ImportId"":""QID35""}";"{""ImportId"":""QID36""}";"{""ImportId"":""QID6""}";"{""ImportId"":""QID7""}";"{""ImportId"":""QID8""}";"{""ImportId"":""QID9""}";"{""ImportId"":""QID10""}";"{""ImportId"":""QID11""}";"{""ImportId"":""QID12""}";"{""ImportId"":""QID13""}";"{""ImportId"":""QID14""}";"{""ImportId"":""QID15""}";"{""ImportId"":""QID16""}";"{""ImportId"":""QID17""}";"{""ImportId"":""QID18""}";"{""ImportId"":""QID19""}";"{""ImportId"":""QID20""}";"{""ImportId"":""QID21""}";"{""ImportId"":""QID22""}";"{""ImportId"":""QID23""}";"{""ImportId"":""QID24""}";"{""ImportId"":""QID25""}";"{""ImportId"":""QID26""}";"{""ImportId"":""QID27""}";"{""ImportId"":""QID28""}";"{""ImportId"":""QID29""}";"{""ImportId"":""SC_daMYhX1N5x99yZg""}";"{""ImportId"":""FillerScore""}";"{""ImportId"":""Q_StraightliningCount""}";"{""ImportId"":""Q_StraightliningPercentage""}";"{""ImportId"":""Q_StraightliningQuestions""}"
2023-06-23 02:38:28;2023-06-23 02:42:08;IP Address;100;219;TRUE;2023-06-23 02:42:09;R_1FLFeEG5V6OqfcX;;;;;anonymous;RU;0.8999999761581421;В музее хранились находки,В музее хранилась копия города;"Писательницы были выдвинуты на премию ""Букер""";Гранты получили сотрудники;Напарник видел ограбление;Графиня жила неподалеку;У исполнительницы был высокий рейтинг,У песни был высокий рейтинг;У монастыря были толстые стены;У спутника было хмурое лицо,У мужчины было хмурое лицо;Работник проработал два дня;Мастер украшал дверь;;;;;;;;;;;;;;;;;;;;;;;;;5.0;5;0;0;
2023-06-23 02:45:58;2023-06-23 02:48:47;IP Address;100;169;TRUE;2023-06-23 02:48:48;R_3GoK51UMEXgmqfg;;;;;anonymous;RU;1;В музее хранились находки;"Директор выступила против получения писательницами премии ""Букер""";Гранты получили сотрудники;Водитель видел ограбление;Григорий столкнулся со служанкой и графиней;У песни был высокий рейтинг;У подвала были толстые стены;У мужчины было хмурое лицо;Сварочный аппарат проработал два дня;Мастер украшал ручку;;;;;;;;;;;;;;;;;;;;;;;;;2.0;2;0;0;
2023-06-23 02:46:36;2023-06-23 02:50:59;IP Address;100;262;TRUE;2023-06-23 02:50:59;R_21GPCJTtKpffIBk;;;;;anonymous;RU;1;В музее хранились находки;"Повести были выдвинуты на премию ""Букер"",Писательницы были выдвинуты на премию ""Букер""";Гранты получили сотрудники;Напарник видел ограбление,Водитель видел ограбление;Графиня жила неподалеку,Служанка жила неподалеку;У песни был высокий рейтинг;У подвала были толстые стены,У монастыря были толстые стены;У спутника было хмурое лицо;Работник проработал два дня;Мастер украшал ручку;;;;;;;;;;;;;;;;;;;;;;;;;7.0;7;0;0;
2023-06-23 02:47:40;2023-06-23 02:51:05;IP Address;100;205;TRUE;2023-06-23 02:51:06;R_1omYhBL7LPeSJwY;;;;;anonymous;RU;1;В музее хранились фотографии;"Директор выступила против получения писательницами премии ""Букер""";Гранты получили сотрудники;Напарник видел ограбление;Служанка жила неподалеку;У песни был высокий рейтинг;У подвала были толстые стены;У спутника было хмурое лицо;Работник проработал два дня;Мастер украшал ручку;;;;;;;;;;;;;;;;;;;;;;;;;3.5;3.5;0;0;
2023-06-23 02:47:16;2023-06-23 02:51:45;IP Address;100;269;TRUE;2023-06-23 02:51:46;R_3qaIsJ9vueYLzem;;;;;anonymous;RU;1;В музее хранились фотографии;"Повести были выдвинуты на премию ""Букер""";Гранты получили сотрудники;Напарник видел ограбление;Служанка жила неподалеку;У исполнительницы был высокий рейтинг;У подвала были толстые стены;У спутника было хмурое лицо;Работник проработал два дня;Мастер украшал ручку;;;;;;;;;;;;;;;;;;;;;;;;;5.0;5;0;0;
2023-06-23 02:49:18;2023-06-23 02:52:36;IP Address;100;197;TRUE;2023-06-23 02:52:36;R_aWdhKe8SkthD6Kd;;;;;anonymous;RU;1;В музее хранились находки;"Писательницы были выдвинуты на премию ""Букер""";Гранты получили институты;Напарник видел ограбление;Графиня жила неподалеку;У исполнительницы был высокий рейтинг;У подвала были толстые стены,У монастыря были толстые стены;У спутника было хмурое лицо,У мужчины было хмурое лицо;Сварочный аппарат проработал два дня;Мастер украшал дверь;;;;;;;;;;;;;;;;;;;;;;;;;6.0;6;0;0;
2023-06-23 02:48:27;2023-06-23 02:52:40;IP Address;100;252;TRUE;2023-06-23 02:52:40;R_1KroeJpxbGOXbv3;;;;;anonymous;RU;1;В музее хранились фотографии;"Повести были выдвинуты на премию ""Букер""";Гранты получили сотрудники;Напарник видел ограбление;Графиня жила неподалеку;У исполнительницы был высокий рейтинг;У монастыря были толстые стены;У спутника было хмурое лицо;Работник проработал два дня;Мастер украшал ручку;;;;;;;;;;;;;;;;;;;;;;;;;5.0;5;0;0;
2023-06-23 02:47:28;2023-06-23 02:52:43;IP Address;100;314;TRUE;2023-06-23 02:52:43;R_1Ny2B5JA2UT4Snq;;;;;anonymous;RU;1;В музее хранились фотографии;"Директор выступила против получения писательницами премии ""Букер""";Гранты получили сотрудники;Напарник видел ограбление;Служанка жила неподалеку;У исполнительницы был высокий рейтинг;У подвала были толстые стены;У спутника было хмурое лицо;Работник проработал два дня;Мастер украшал ручку;;;;;;;;;;;;;;;;;;;;;;;;;3.5;3.5;0;0;
2023-06-23 02:46:54;2023-06-23 02:53:22;IP Address;100;387;TRUE;2023-06-23 02:53:22;R_Or6UlexoHhUlfMJ;;;;;anonymous;RU;0.8999999761581421;В музее хранились фотографии;"Повести были выдвинуты на премию ""Букер""";Гранты получили сотрудники;Напарник видел ограбление,Водитель видел ограбление;Графиня жила неподалеку,Служанка жила неподалеку;У исполнительницы был высокий рейтинг,У песни был высокий рейтинг;У подвала были толстые стены;У спутника было хмурое лицо;Сварочный аппарат проработал два дня,Работник проработал два дня;Мастер украшал ручку,Мастер украшал дверь;;;;;;;;;;;;;;;;;;;;;;;;;7.5;7.5;0;0;
2023-06-23 02:51:06;2023-06-23 02:53:39;IP Address;100;153;TRUE;2023-06-23 02:53:39;R_2chhnsXV0g99LNb;;;;;anonymous;RU;0.8999999761581421;В музее хранились фотографии;"Повести были выдвинуты на премию ""Букер""";Гранты получили сотрудники,Гранты получили институты;Напарник видел ограбление;Графиня жила неподалеку;У исполнительницы был высокий рейтинг,У песни был высокий рейтинг;У подвала были толстые стены,У монастыря были толстые стены;У спутника было хмурое лицо,У мужчины было хмурое лицо;Сварочный аппарат проработал два дня;Мастер украшал дверь;;;;;;;;;;;;;;;;;;;;;;;;;7.0;7;0;0;
2023-06-23 02:50:15;2023-06-23 02:54:16;IP Address;100;241;TRUE;2023-06-23 02:54:16;R_2c6PetQRIs0IPZy;;;;;anonymous;RU;0.8999999761581421;В музее хранились фотографии,В музее хранились находки;"Повести были выдвинуты на премию ""Букер"",Писательницы были выдвинуты на премию ""Букер""";Гранты получили сотрудники;Напарник видел ограбление;Служанка жила неподалеку;У исполнительницы был высокий рейтинг;У монастыря были толстые стены;У спутника было хмурое лицо;Сварочный аппарат проработал два дня,Работник проработал два дня;Мастер украшал ручку;;;;;;;;;;;;;;;;;;;;;;;;;6.5;6.5;0;0;
